landingPage,sessions,activeUsers,newUsers,averageSessionDuration,bounceRate,keyEvents
"/pl","361","295","287","195.29174829639891","0.030470914127423823","0"
"/pl/winter-vol-liefde","87","81","79","976.92709333333323","0.045977011494252873","0"
"/nl/winter-vol-liefde","64","62","58","99.838947843749992","0.0625","0"
"(not set)","28","17","0","0.20831492857142855","1","0"
"/pl/contact","17","15","8","25.919416882352941","0.23529411764705882","0"
"/cs","11","11","8","159.92461627272726","0","0"
"/pl/accommodation","10","8","3","62.1743647","0","0"
"/pl/animals/alpacas","10","8","1","165.9568284","0.2","0"
"/pl/activities","8","8","2","252.60417225","0","0"
"/en","7","7","4","544.29257557142853","0","0"
"/pl/adopt","7","6","1","196.63523485714285","0","0"
"/en/animals","6","4","2","174.33446066666667","0","0"
"/en/accommodation","4","3","1","39.002336","0","0"
"/pl/privacy","4","4","4","0","1","0"
"/cs/contact","3","2","0","27.058241","0","0"
"/en/activities","3","1","1","93.459377666666668","0","0"
"/en/adopt","3","2","0","204.99863533333334","0","0"
"/en/vouchers","3","2","0","1200.921079","0","0"
"/pl/animals","3","3","2","162.33192866666667","0","0"
"/cs/activities","2","1","0","499.6958965","0.5","0"
"/de","2","2","2","109.442869","0","0"
"/de/accommodation","2","2","2","5.532443","0","0"
"/pl/booking","2","1","0","500.8151905","0","0"
"/","1","1","0","486.380997","0","0"
"/cs/animals/alpacas","1","1","0","4.822014","0","0"
"/cs/vouchers","1","1","0","3.43798","0","0"
"/cs/winter-vol-liefde","1","1","0","609.81666","0","0"
"/de/activities","1","1","0","4.90555","0","0"
"/de/contact","1","1","0","4.906983","0","0"
"/en/animals/alpacas","1","1","1","39.783232","0","0"
"/en/animals/dogs","1","1","0","1047.323733","0","0"
"/en/terms","1","1","0","548.787845","0","0"
"/en/winter-vol-liefde","1","1","0","4988.631216","0","0"
"/nl","1","1","0","5936.552723","0","0"
"/nl/animals","1","1","0","81.187584","0","0"
"/pl/stay","1","1","1","1.241175","0","0"